BB-norm-10492485	GRAS	480-484	generally recognized as safe	450-478
BB-norm-10738994	MRSA	268-272	methicillin-resistant Staphylococcus aureus	98-141
BB-norm-10738994	MRSA	268-272	methicillin-resistant Staphylococcus aureus	223-266
BB-norm-10738994	MRSA	513-517	methicillin-resistant Staphylococcus aureus	98-141
BB-norm-10738994	MRSA	513-517	methicillin-resistant Staphylococcus aureus	223-266
BB-norm-10738994	MRSA	593-597	methicillin-resistant Staphylococcus aureus	98-141
BB-norm-10738994	MRSA	593-597	methicillin-resistant Staphylococcus aureus	223-266
BB-norm-10738994	MRSA	739-743	methicillin-resistant Staphylococcus aureus	98-141
BB-norm-10738994	MRSA	739-743	methicillin-resistant Staphylococcus aureus	223-266
BB-norm-10738994	MRSA	1090-1094	methicillin-resistant Staphylococcus aureus	98-141
BB-norm-10738994	MRSA	1090-1094	methicillin-resistant Staphylococcus aureus	223-266
BB-norm-10738994	MRSA	1583-1587	methicillin-resistant Staphylococcus aureus	98-141
BB-norm-10738994	MRSA	1583-1587	methicillin-resistant Staphylococcus aureus	223-266
BB-norm-10738994	SNF	318-321	skilled nursing facility	292-316
BB-norm-10738994	SNF	532-535	skilled nursing facility	292-316
BB-norm-10738994	SNF	628-631	skilled nursing facility	292-316
BB-norm-10738994	SNF	1210-1213	skilled nursing facility	292-316
BB-norm-10738994	SNF	1606-1609	skilled nursing facility	292-316
BB-norm-10738994	FIGE	387-391	field-inversion gel electrophoresis	350-385
BB-norm-10738994	FIGE	868-872	field-inversion gel electrophoresis	350-385
BB-norm-10738994	FIGE	1098-1102	field-inversion gel electrophoresis	350-385
BB-norm-10738994	FIGE	1229-1233	field-inversion gel electrophoresis	350-385
BB-norm-10738994	FIGE	1549-1553	field-inversion gel electrophoresis	350-385
BB-norm-10738994	REA	438-441	restriction endonuclease digestion analysis	393-436
BB-norm-10738994	REA	873-876	restriction endonuclease digestion analysis	393-436
BB-norm-10738994	REA	1103-1106	restriction endonuclease digestion analysis	393-436
BB-norm-10738994	REA	1234-1237	restriction endonuclease digestion analysis	393-436
BB-norm-10738994	REA	1263-1266	restriction endonuclease digestion analysis	393-436
BB-norm-10738994	REA	1416-1419	restriction endonuclease digestion analysis	393-436
BB-norm-10738994	REA	1554-1557	restriction endonuclease digestion analysis	393-436
BB-norm-11410343	TeCB	146-150	2,2',5,5'-tetrachlorobiphenyl	11-40
BB-norm-11410343	TeCB	146-150	2,2',5,5'-tetrachlorobiphenyl	115-144
BB-norm-11410343	TeCB	405-409	2,2',5,5'-tetrachlorobiphenyl	11-40
BB-norm-11410343	TeCB	405-409	2,2',5,5'-tetrachlorobiphenyl	115-144
BB-norm-11410343	TeCB	637-641	2,2',5,5'-tetrachlorobiphenyl	11-40
BB-norm-11410343	TeCB	637-641	2,2',5,5'-tetrachlorobiphenyl	115-144
BB-norm-11410343	TeCB	836-840	2,2',5,5'-tetrachlorobiphenyl	11-40
BB-norm-11410343	TeCB	836-840	2,2',5,5'-tetrachlorobiphenyl	115-144
BB-norm-11410343	DPH	332-335	1,6-diphenyl-1,3,5-hexatriene	301-330
BB-norm-11410343	DPH	504-507	1,6-diphenyl-1,3,5-hexatriene	301-330
BB-norm-14645268	Xops	547-551	Xanthomonas outer proteins	519-545
BB-norm-15358511	TSB	257-260	tryptic soy broth	48-65
BB-norm-15358511	TSB	257-260	tryptic soy broth	238-255
BB-norm-15358511	TSB	572-575	tryptic soy broth	48-65
BB-norm-15358511	TSB	572-575	tryptic soy broth	238-255
BB-norm-15358511	TSB	577-580	tryptic soy broth	48-65
BB-norm-15358511	TSB	577-580	tryptic soy broth	238-255
BB-norm-15358511	TSB	658-661	tryptic soy broth	48-65
BB-norm-15358511	TSB	658-661	tryptic soy broth	238-255
BB-norm-15358511	NB	282-284	nutrient broth	70-84
BB-norm-15358511	NB	282-284	nutrient broth	266-280
BB-norm-15358511	NB	501-503	nutrient broth	70-84
